MAX_RELATION=4
31	78	0
31	84	2
31	31	1
31	78	0
31	84	2
31	31	1
31	78	0
31	84	2
31	31	1
31	78	0
31	84	2
31	33	1
33	70	0
33	85	2
33	83	3
33	33	1
33	70	0
33	85	2
33	83	3
33	32	1
32	75	0
32	83	2
32	32	1
32	75	0
32	83	2
32	13	1
13	75	0
13	85	2
13	85	3
13	33	1
33	70	0
33	85	2
33	83	3
33	32	1
32	75	0
32	83	2
32	54	1
54	75	0
54	85	2
54	84	3
54	2	1
2	70	0
2	85	2
2	85	3
2	85	4
2	32	1
32	75	0
32	83	2
32	33	1
33	70	0
33	85	2
33	83	3
33	1	1
1	70	0
1	85	2
1	32	1
32	75	0
32	83	2
32	17	1
17	75	0
17	85	2
17	84	3
17	33	1
33	70	0
33	85	2
33	83	3
33	1	1
1	70	0
1	85	2
1	32	1
32	75	0
32	83	2
32	0	1
0	70	0
0	85	2
31	78	0
31	84	2
31	31	1
31	78	0
31	84	2
31	33	1
33	70	0
33	84	2
33	83	3
33	57	1
57	75	0
57	84	2
57	84	3
57	82	4
57	33	1
33	70	0
33	85	2
33	83	3
33	32	1
32	75	0
32	83	2
32	57	1
57	75	0
57	83	2
57	85	3
57	82	4
57	0	1
0	70	0
0	84	2
